부정,점수
당하거나 배척되다,-1
당한 고통을,-1
당황한,-1
대드는 짓,-1
대들다,-1
대상을 무서워하여,-1
대상을 위협하기,-1
더러운,-1
더러운 데가,-1
더러운 도랑이라는,-1
더러운 때에,-1
더러운 모양,-1
더러운 무리,-1
더러운 점,-1
더러움,-1
더러워,-1
더러워져서,-1
더러워지거나,-1
더러워지다,-1
더러워진,-1
더러워진 상태,-1
더러워진 옷,-1
더럽게,-1
더럽게 꼴로,-1
더럽게 생각하고,-1
더럽게 아첨을,-1
더럽게 여겨져,-1
더럽고,-1
더럽고 궁상스러운,-1
더럽고 치사하여,-1
더럽다,-1
더럽혀서,-1
더럽혀진,-1
더럽혀진 물,-1
더럽히는,-1
더럽히는 일을,-1
더럽히는 짓을,-1
더럽히다,-1
더부룩이,-1
더부룩하고,-1
더부룩하다,-1
더욱 심해지는,-1
더위에 괴로워하는,-1
덤벼들어,-1
덤비거나,-1
덤비는 짓을,-1
덤비다,-1
덩이가 볼품없이,-1
도둑을 맞은,-1
도둑질하다,-1
도둑질한,-1
도리가 없다,-1
도리가 없이,-1
도리에 어그러지고,-1
도리에 어긋남에도,-1
도박에서 져서,-1
도중에 실패로,-1
독,-1
독 작용,-1
독사,-1
독살스러운,-1
독살스러운 데가,-1
독이,-1
독차지함,-1
독하거나,-1
독한,-1
독한 냄새,-1
돈을 빼앗기거나,-1
돈을 축냄,-1
돌겠네,-1
돌과 같은 머리라는,-1
동작이 거칠게,-1
되는 서러운,-1
되는대로 지껄이다,-1
되는대로 팽개치다,-1
되바라지게,-1
되바라지게 행동하는,-1
되바라지게 행동하다,-1
되지 못하다,-1
되지못한,-1
되지못한 소리로,-1
되지못한 희떠운,-1
두려운,-1
두려운 마음을,-1
두려운 마음이,-1
두려운 인물이,-1
두려움,-1
두려움 따위를,-1
두려움으로,-1
두려움을,-1
두려움을 주는,-1
두려움이나,-1
두려워,-1
두려워서,-1
두려워서 몸을,-1
두려워하는,-1
두려워하는 병,-1
두려워하여,-1
두려워하여 경계하는,-1
두려워함,-1
두렵거나,-1
