숙소번호,모텔명,주소,추천여부_3,추천여부_2,추천여부_최종,전체평점,평점/친절도,평점/청결도,평점/편의성,평점/주변여행,평점순/친절도순,평점순/청결도순,평점순/편의성순,평점순/주변여행순
162,진도 해오름펜션,전라남도 진도군 고군면 모사길 109-89,매우완전추천,완전추천,4,4.8,5,4.8,4.8,4.8,4.87,4.84,4.84,4.84
163,장흥 수문리조트,전라남도 장흥군 안양면 수문용곡로 193-33,매우완전추천,보통추천,2,4.5,4.7,4.5,4.3,4.5,4.52,4.5,4.48,4.5
164,광양 필관광하우스펜션,전라남도 광양시 옥룡면 묵방길 10,완전추천,완전추천,3,4.6,4.7,4.6,4.6,4.6,4.63,4.62,4.62,4.62
165,고흥 휴샹그릴라펜션,전라남도 고흥군 포두면 팔영로 202-27,매우완전추천,보통추천,2,4,4.7,4,3,2.7,3.72,3.64,3.53,3.5
166,신안 프롬휴풀빌라펜션,전라남도 신안군 증도면 보물섬길 280-33,매우완전추천,보통추천,2,3,3,4,3.7,3.7,3.53,3.64,3.61,3.61
167,무안 애모시옹풀빌라펜션,전라남도 무안군 망운면 청운로 881,매우완전추천,보통추천,2,4.7,4.9,4.6,4.7,4.6,4.72,4.69,4.7,4.69
168,장흥 참새미힐링하우스펜션,전라남도 장흥군 장흥읍 외평길 134-15,매우완전추천,비추천,2,4.3,4.9,4.8,4.3,4.4,4.63,4.62,4.57,4.58
169,완도 청해진한옥펜션,전라남도 완도군 군외면 청해진로 548,완전추천,보통추천,2,4.1,3.9,4,3.8,4,3.92,3.93,3.91,3.93
170,해남 땅끝마을휘겔리펜션,전라남도 해남군 삼산면 가재길 56,매우완전추천,매우완전추천,5,5,5,5,4.8,4.8,4.91,4.91,4.89,4.89
171,보성 수진한옥펜션,전라남도 보성군 보성읍 사동길 37,매우완전추천,매우완전추천,5,4.9,5,4.9,4.9,4.9,4.93,4.92,4.92,4.92
172,완도 원네스리조트,전라남도 완도군 완도읍 청해진서로 189-50,매우완전추천,비추천,2,4,4.2,4.1,3.7,3.9,4,3.99,3.94,3.97
173,강진 다향소축한옥민박펜션,전라남도 강진군 도암면 다산초당1길 7-5,매우완전추천,보통추천,2,4.6,4.7,4.7,4.4,4.7,4.63,4.63,4.6,4.63
174,완도 청산도여행펜션,전라남도 완도군 청산면 청산로 667-13,매우완전추천,완전추천,4,4.9,5,5,5,5,5,5,5,5
175,보성 구름속의산책펜션,전라남도 보성군 회천면 일림산길 309,매우완전추천,완전추천,4,4.9,5,4.9,4.8,4.8,4.89,4.88,4.87,4.87
176,완도 라일펜션,전라남도 완도군 신지면 신지로582번길 94-10,완전추천,비추천,2,3.7,4,3.7,3.7,4.3,3.93,3.9,3.9,3.97
177,고흥 오션뷰펜션,전라남도 고흥군 도양읍 녹동2길 2,보통추천,매우완전추천,2,4.6,4.8,4.7,4.6,4.9,4.76,4.74,4.73,4.77
178,해남 노을빛바다펜션,전라남도 해남군 문내면 증도길 31-42,보통추천,보통추천,2,3.7,4.1,3.9,3.7,3.6,3.86,3.83,3.81,3.8
179,무안 톱머리리조트펜션,전라남도 무안군 망운면 톱머리길88,매우완전추천,비추천,2,3.9,3.9,3.5,3.7,3.8,3.74,3.7,3.72,3.73
180,해남 땅끝풍경펜션,전라남도 해남군 송지면 땅끝해안로 2286,매우완전추천,완전추천,4,4.6,4.9,4.8,4.8,4.8,4.83,4.82,4.82,4.82
181,영광 쉐이리펜션,전라남도 영광군 백수읍 해안로4길 185-5,완전추천,보통추천,2,4.2,4.7,4,3.7,3.8,4.12,4.04,4.01,4.02
182,완도 친구네펜션,전라남도 완도군 완도읍 정도1길 94,매우완전추천,보통추천,2,4.8,5,5,4.6,4.6,4.82,4.82,4.78,4.78
